Model,Data Type,F1 (Macro),F1 std
SGDClassifier,TF-IDF,0.6033,0.006
SGDClassifier,BoW,0.5997,0.0068
LogisticRegression,BoW,0.5846,0.0044
LinearSVC,TF-IDF,0.5845,0.0083
LinearSVC,BoW,0.5833,0.0076
LogisticRegression,TF-IDF,0.5815,0.0046
LGBMClassifier,BoW,0.5807,0.0051
LGBMClassifier,TF-IDF,0.5785,0.0041
ComplementNB,BoW,0.5473,0.005
MultinomialNB,BoW,0.5451,0.0082
ComplementNB,TF-IDF,0.5354,0.0036
DecisionTreeClassifier,TF-IDF,0.5204,0.0039
RandomForestClassifier,BoW,0.5122,0.0086
RandomForestClassifier,TF-IDF,0.5109,0.0056
DecisionTreeClassifier,BoW,0.5108,0.0025
BernoulliNB,BoW,0.5064,0.0052
BernoulliNB,TF-IDF,0.5064,0.0052
GradientBoostingClassifier,TF-IDF,0.4954,0.0012
GradientBoostingClassifier,BoW,0.4822,0.0022
MultinomialNB,TF-IDF,0.3787,0.0027
